"Tomás de Siervi Barcellos";"Introdução a visualização de dados no R com ggplot2";1
"José de Jesus Filho";"Gerando relatórios preformatados com Shiny, Bookdown e Glue.";1
"Eduardo Elias Ribeiro Junior";"Criando websites com blogdown";1
"William Nilson de Amorim";"Introdução ao Shiny";1
"Bernardo Dias Bordalo Loureiro";"Introdução ao Machine Learning Services - utilizando o R";1
"Clarissa Simoyama David";"Mineração de Dados aplicada à economia utilizando R";1
"Samuel Victor Medeiros de Macêdo";"Análise de Big Data utilizando o pacote sparklyr";1
"Caio Lente";"ddR: Estruturas de Dados Distribuídas em R";1
;;
"Wagner Hugo Bonat";"Modelos de regressão multivariado em R: O pacote mcgm";1
"Eric Batista Ferreira e Denismar Alves Nogueira";"ExpDes e ExpDes.pt:  pacotes R para análise de experimentos";1
"Caio Lente";"Decryptr: Uma API Extensível para Quebrar Captchas";1
"Gabriel Sartori Klostermann";"Visualização de mapas Interativos";1
"Jonathan Farinela e Lucas Marchioro";"Implementação de Dashboards em Shiny em O Boticário";1
"Tomás de Siervi Barcellos";"Redes de textos legais no R: redelex";1
"Daniel Falbel";"keras: deep learning com R";1
"Varun Khandelwal";"Taking R to production";1
"Daniel Ikenaga";"Utilizando o R em desenvolvimento e produção";1
"Bernardo Dias Bordalo Loureiro";"Machine Learning Services: Detecção de anomalias onde um desvio pode custar milhões";1
"Danilo Augusto Sarti";"Software selection through decision analysis and information systems management";1
"Igor Tadeu Silva Viana Stemler";"Justiça em Números em R Markdown";1
"Luiz Roberto Martins Pinto";"Revisitando o Grafico Biplot proposto por Gabriel (1971)";1
"Douglas Roberto Mesquita Azevedo";"Voronoys: Um aplicativo shiny para decifrar as eleições no Brasil";1
"Bruna Davies Wundervald";"Análise de Dados Musicais no R";1
"Benilton Carvalho";"R Aplicado à Medicina de Precisão";1
